|archetype|archetypeURL|count
261|Golden Castle Of Stromber|Golden%20Castle%20Of%20Stromber|0
262|Golden Castle Of Stromberg|Golden%20Castle%20Of%20Stromberg|0
263|Golden Land|Golden%20Land|0
264|Gorgonic|Gorgonic|0
265|Gouki|Gouki|0
266|Gravekeeper|Gravekeeper|0
267|Gravekeeper's|Gravekeeper%27s|0
268|Graydle|Graydle|0
269|Greed|Greed|0
270|Grepher|Grepher|0
271|Guardian|Guardian|0
272|Guardragon|Guardragon|0
273|Gunkan|Gunkan|0
274|Gusto|Gusto|0
275|Hand Traps|Hand%20Traps|0
276|Harpie|Harpie|0
277|Hazy|Hazy|0
278|Heart|Heart|0
279|Hellfire|Hellfire|0
280|Herald|Herald|0
281|Heraldic|Heraldic|0
282|Heraldry|Heraldry|0
283|HERO|HERO|0
284|HEROES|HEROES|0
285|Heroic|Heroic|0
286|Hi-Speedroid|Hi-Speedroid|0
287|Hieratic|Hieratic|0
288|Hole|Hole|0
289|Holy Knight|Holy%20Knight|0
290|Holy Night|Holy%20Night|0
291|Horus|Horus|0
292|Horus The Black Flame Dra|Horus%20The%20Black%20Flame%20Dra|0
293|Horus The Black Flame Dragon|Horus%20The%20Black%20Flame%20Dragon|0
294|Hyperion|Hyperion|0
295|Ice Barrier|Ice%20Barrier|0
296|Icejade|Icejade|0
297|Igknight|Igknight|0
298|Impcantation|Impcantation|0
299|Infernity|Infernity|0
300|Infernoble Knight|Infernoble%20Knight|0
301|Infernoid|Infernoid|0
302|Infestation|Infestation|0
303|Infinitrack|Infinitrack|0
304|Insect|Insect|0
305|Invoked|Invoked|0
306|Inzektor|Inzektor|0
307|Iron Chain|Iron%20Chain|0
308|Jar|Jar|0
309|Jester|Jester|0
310|Jinzo|Jinzo|0
311|Junk|Junk|0
312|Jurrac|Jurrac|0
313|Kaiju|Kaiju|0
314|Kairyu-Shin|Kairyu-Shin|0
315|Karakuri|Karakuri|0
316|Kashtira|Kashtira|0
317|Ki-sikil|Ki-sikil|0
318|Knight|Knight|0
319|Knightmare|Knightmare|0
320|Koa'ki Meiru|Koa%27ki%20Meiru|0
321|Koala|Koala|0
322|Kozmo|Kozmo|0
323|Krawler|Krawler|0
324|Kuriboh|Kuriboh|0
325|Labrynth|Labrynth|0
326|Labyrinth Wall|Labyrinth%20Wall|0
327|Lady Of Lament|Lady%20Of%20Lament|0
328|Laval|Laval|0
329|Legado Mundial|Legado%20Mundial|0
330|Legendary Knight|Legendary%20Knight|0
331|Libromancer|Libromancer|0
332|Light And Darkness Dragon|Light%20And%20Darkness%20Dragon|0
333|Lightsworn|Lightsworn|0
334|Lil-la|Lil-la|0
335|Link|Link|0
336|Links|Links|0
337|Live/Evil|Live/Evil|0
338|Live☆Twin|Live%E2%98%86Twin|0
339|Lockdown|Lockdown|0
340|Lost World|Lost%20World|0
341|Lswarm|Lswarm|0
342|Lunalight|Lunalight|0
343|Lyrilusc|Lyrilusc|0
344|M∀LICE|M%E2%88%80LICE|0
345|Machina|Machina|0
346|Machine|Machine|0
347|Machine Angel|Machine%20Angel|0
348|Madolche|Madolche|0
349|Madoor|Madoor|0
350|Magical Musket|Magical%20Musket|0
351|Magician|Magician|0
352|Magician Girl|Magician%20Girl|0
353|Magicians|Magicians|0
354|Magikey|Magikey|0
355|Magistus|Magistus|0
356|Magnet|Magnet|0
357|Magnet Warrior|Magnet%20Warrior|0
358|Majespecter|Majespecter|0
359|Majestic|Majestic|0
360|Maju|Maju|0
361|Malefic|Malefic|0
362|Malicevorous|Malicevorous|0
363|Maliss|Maliss|0
364|Man-Eater Bug|Man-Eater%20Bug|0
365|Manadome|Manadome|0
366|Mannadium|Mannadium|0
367|Marincess|Marincess|0
368|Martial Art Spirit|Martial%20Art%20Spirit|0
369|Mask|Mask|0
