,name,deck,type,code,imgSource,count,apperances,avgCopies,percOfDecks
79,Amphibious Swarmship Amblowhale,extra_deck,Link Monster,20665527,https://images.ygoprodeck.com/images/cards_small/20665527.jpg,11,11,1.0,0.18
80,Salamangreat Sunlight Wolf,extra_deck,Link Monster,87871125,https://images.ygoprodeck.com/images/cards_small/87871125.jpg,16,16,1.0,0.27
81,Kikinagashi Fucho,extra_deck,XYZ Monster,27240101,https://images.ygoprodeck.com/images/cards_small/27240101.jpg,14,14,1.0,0.23
82,"Garunix Eternity, Hyang of the Fire Kings",extra_deck,XYZ Monster,64182380,https://images.ygoprodeck.com/images/cards_small/64182380.jpg,6,6,1.0,0.1
83,Decode Talker Heatsoul,extra_deck,Link Monster,61245672,https://images.ygoprodeck.com/images/cards_small/61245672.jpg,4,4,1.0,0.07
84,"Dharc the Dark Charmer, Gloomy",extra_deck,Link Monster,8264361,https://images.ygoprodeck.com/images/cards_small/8264361.jpg,43,43,1.0,0.72
85,Relinquished Anima,extra_deck,Link Monster,94259633,https://images.ygoprodeck.com/images/cards_small/94259633.jpg,41,41,1.0,0.68
86,Duelittle Chimera,extra_deck,Link Monster,37880706,https://images.ygoprodeck.com/images/cards_small/37880706.jpg,6,6,1.0,0.1
87,"Selene, Queen of the Master Magicians",extra_deck,Link Monster,45819647,https://images.ygoprodeck.com/images/cards_small/45819647.jpg,42,42,1.0,0.7
88,Saryuja Skull Dread,extra_deck,Link Monster,74997493,https://images.ygoprodeck.com/images/cards_small/74997493.jpg,3,3,1.0,0.05
89,Mecha Phantom Beast Dracossack,extra_deck,XYZ Monster,22110647,https://images.ygoprodeck.com/images/cards_small/22110647.jpg,16,16,1.0,0.27
90,Pitknight Earlie,extra_deck,Link Monster,47759571,https://images.ygoprodeck.com/images/cards_small/47759571.jpg,10,10,1.0,0.17
91,Number 38: Hope Harbinger Dragon Titanic Galaxy,extra_deck,XYZ Monster,63767246,https://images.ygoprodeck.com/images/cards_small/63767246.jpg,22,22,1.0,0.37
92,Link Spider,extra_deck,Link Monster,98978921,https://images.ygoprodeck.com/images/cards_small/98978921.jpg,2,2,1.0,0.03
93,"Puzzlomino, the Drop-n-Deleter",extra_deck,Link Monster,84271823,https://images.ygoprodeck.com/images/cards_small/84271823.jpg,2,2,1.0,0.03
94,Herald of the Arc Light,extra_deck,Synchro Monster,79606837,https://images.ygoprodeck.com/images/cards_small/79606837.jpg,1,1,1.0,0.02
95,Lyrilusc - Assembled Nightingale,extra_deck,XYZ Monster,48608796,https://images.ygoprodeck.com/images/cards_small/48608796.jpg,3,3,1.0,0.05
96,D/D/D Wave High King Caesar,extra_deck,XYZ Monster,79559912,https://images.ygoprodeck.com/images/cards_small/79559912.jpg,3,3,1.0,0.05
97,Scareclaw Tri-Heart,extra_deck,Link Monster,59120809,https://images.ygoprodeck.com/images/cards_small/59120809.jpg,1,1,1.0,0.02
