|name|type|deck|code|imgSource|deckID|date|format|tag1|tag2|tag3
127|S:P Little Knight|Link Effect Monster|extra_deck|29301450|https://images.ygoprodeck.com/images/cards_small/29301450.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
128|Apollousa, Bow of the Goddess|Link Effect Monster|extra_deck|4280258|https://images.ygoprodeck.com/images/cards_small/4280258.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
129|Underworld Goddess of the Closed World|Link Effect Monster|extra_deck|98127546|https://images.ygoprodeck.com/images/cards_small/98127546.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
130|Moon of the Closed Heaven|Link Effect Monster|extra_deck|71818935|https://images.ygoprodeck.com/images/cards_small/71818935.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
131|Fiendsmith's Requiem|Link Effect Monster|extra_deck|2463794|https://images.ygoprodeck.com/images/cards_small/2463794.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
132|Fiendsmith's Sequence|Link Effect Monster|extra_deck|49867899|https://images.ygoprodeck.com/images/cards_small/49867899.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
133|Fiendsmith's Desirae|Fusion Effect Monster|extra_deck|82135803|https://images.ygoprodeck.com/images/cards_small/82135803.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
134|Fiendsmith's Lacrima|Fusion Effect Monster|extra_deck|46640168|https://images.ygoprodeck.com/images/cards_small/46640168.jpg|512500|2024-07-19|TCG|Snake-Eye|Kashtira|Fiendsmith
135|Worldsea Dragon Zealantis|Link Effect Monster|extra_deck|45112597|https://images.ygoprodeck.com/images/cards_small/45112597.jpg|512501|2024-07-19|TCG|Snake-Eye|Fiendsmith|Diabellstar
136|Salamangreat Raging Phoenix|Link Effect Monster|extra_deck|57134592|https://images.ygoprodeck.com/images/cards_small/57134592.jpg|512501|2024-07-19|TCG|Snake-Eye|Fiendsmith|Diabellstar
137|Knightmare Phoenix|Link Effect Monster|extra_deck|2857636|https://images.ygoprodeck.com/images/cards_small/2857636.jpg|512501|2024-07-19|TCG|Snake-Eye|Fiendsmith|Diabellstar
138|Promethean Princess, Bestower of Flames|Link Effect Monster|extra_deck|2772337|https://images.ygoprodeck.com/images/cards_small/2772337.jpg|512501|2024-07-19|TCG|Snake-Eye|Fiendsmith|Diabellstar
139|Hiita the Fire Charmer, Ablaze|Link Effect Monster|extra_deck|48815792|https://images.ygoprodeck.com/images/cards_small/48815792.jpg|512501|2024-07-19|TCG|Snake-Eye|Fiendsmith|Diabellstar
